timestamp,vessel_count,anchored_vessels,slow_vessels,avg_sog_knots,cargo_vessels,tanker_vessels,passenger_vessels,tug_vessels
2024-12-25T00:56:00+00:00,86,20,79,0.794118,9,5,5,15
2024-12-25T00:57:00+00:00,79,22,75,0.508861,10,9,2,8
2024-12-25T00:58:00+00:00,92,25,86,0.396739,11,4,4,14
2024-12-25T00:59:00+00:00,91,21,84,0.425275,10,5,5,14
2024-12-25T01:00:00+00:00,95,25,87,0.411579,11,9,5,15
2024-12-25T01:01:00+00:00,92,22,83,0.792391,12,3,6,16
2024-12-25T01:02:00+00:00,71,13,64,1.007042,6,3,7,14
2024-12-25T01:03:00+00:00,88,20,82,0.757955,9,8,5,14
2024-12-25T01:04:00+00:00,86,21,81,0.608140,10,4,6,10
2024-12-25T01:05:00+00:00,66,16,63,0.621212,8,5,3,8
2024-12-25T01:06:00+00:00,93,23,87,0.763441,11,9,6,15
2024-12-25T01:07:00+00:00,95,22,89,0.692632,11,5,6,15
2024-12-25T01:08:00+00:00,85,18,77,0.842857,10,5,5,15
2024-12-25T01:09:00+00:00,92,20,86,0.759783,10,7,5,15
2024-12-25T01:10:00+00:00,95,24,91,0.685263,12,5,7,14
2024-12-25T01:11:00+00:00,84,18,79,0.554217,8,4,5,14
2024-12-25T01:12:00+00:00,78,22,71,1.002564,11,9,4,11
2024-12-25T01:13:00+00:00,83,22,72,0.914458,9,5,5,13
2024-12-25T01:14:00+00:00,85,19,71,1.166667,9,5,7,14
2024-12-25T01:15:00+00:00,86,21,76,0.883721,13,7,4,15
2024-12-25T01:16:00+00:00,99,23,91,0.800000,11,5,6,12
2024-12-25T01:17:00+00:00,91,19,80,0.907778,9,5,6,13
2024-12-25T01:18:00+00:00,86,23,78,0.923256,10,7,5,14
2024-12-25T01:19:00+00:00,94,24,83,0.911702,11,5,6,13
2024-12-25T01:20:00+00:00,87,16,76,0.816279,9,5,5,13
2024-12-25T01:21:00+00:00,91,22,81,0.493407,10,8,4,12
2024-12-25T01:22:00+00:00,87,21,80,0.556322,12,4,6,14
2024-12-25T01:23:00+00:00,93,20,83,0.588043,9,6,2,15
2024-12-25T01:24:00+00:00,90,23,83,0.621111,11,8,5,13
2024-12-25T01:25:00+00:00,99,25,91,0.443434,10,5,7,16
2024-12-25T01:26:00+00:00,84,18,74,0.595181,9,5,4,12
2024-12-25T01:27:00+00:00,87,20,79,0.683908,10,7,4,12
2024-12-25T01:28:00+00:00,93,24,80,0.793548,11,3,8,14
2024-12-25T01:29:00+00:00,91,19,78,0.895604,8,6,6,15
2024-12-25T01:30:00+00:00,94,20,81,0.669149,11,8,4,15
2024-12-25T01:31:00+00:00,88,23,77,0.822727,11,5,6,13
2024-12-25T01:32:00+00:00,88,18,78,0.895402,10,4,6,13
2024-12-25T01:33:00+00:00,84,19,74,0.639286,9,7,3,12
2024-12-25T01:34:00+00:00,88,22,79,0.632955,12,4,6,12
2024-12-25T01:35:00+00:00,80,16,72,0.582500,7,5,4,13
2024-12-25T01:36:00+00:00,89,22,81,0.620225,10,9,3,13
2024-12-25T01:37:00+00:00,93,25,86,0.489247,11,5,6,15
2024-12-25T01:38:00+00:00,85,18,79,0.440476,10,5,4,14
2024-12-25T01:39:00+00:00,87,20,81,0.503448,9,7,5,15
2024-12-25T01:40:00+00:00,91,23,84,0.396703,12,4,5,12
2024-12-25T01:41:00+00:00,78,19,73,0.253247,11,5,3,10
2024-12-25T01:42:00+00:00,88,21,83,0.464773,10,8,5,15
2024-12-25T01:43:00+00:00,93,23,87,0.465591,11,5,5,15
2024-12-25T01:44:00+00:00,85,17,79,0.465476,9,5,5,13
2024-12-25T01:45:00+00:00,88,20,82,0.506818,10,6,4,14
2024-12-25T01:46:00+00:00,92,22,85,0.471739,11,4,4,16
2024-12-25T01:47:00+00:00,88,16,81,0.339080,10,5,3,12
2024-12-25T01:48:00+00:00,92,23,84,0.694565,13,8,4,13
2024-12-25T01:49:00+00:00,67,11,61,0.686567,4,4,4,12
2024-12-25T01:50:00+00:00,87,17,77,0.772093,11,5,5,13
2024-12-25T01:51:00+00:00,88,21,79,0.828409,11,7,4,12
2024-12-25T01:52:00+00:00,84,20,75,0.696429,11,4,4,10
2024-12-25T01:53:00+00:00,94,20,80,0.837234,12,4,5,15
2024-12-25T01:54:00+00:00,92,21,81,0.835870,12,8,5,15
2024-12-25T01:55:00+00:00,94,20,82,0.795745,11,5,4,15
2024-12-25T01:56:00+00:00,92,19,81,0.761538,9,5,5,15
2024-12-25T01:57:00+00:00,95,23,86,0.769474,12,9,5,14
2024-12-25T01:58:00+00:00,96,23,82,1.008333,12,5,6,11
2024-12-25T01:59:00+00:00,86,18,70,1.346154,9,4,6,13
2024-12-25T02:00:00+00:00,97,25,85,1.025773,14,9,6,12
2024-12-25T02:01:00+00:00,94,21,80,1.043617,11,5,7,16
2024-12-25T02:02:00+00:00,96,19,82,1.001053,11,5,6,15
2024-12-25T02:03:00+00:00,96,22,82,1.034375,13,8,5,15
2024-12-25T02:04:00+00:00,102,23,87,1.132353,12,5,8,16
2024-12-25T02:05:00+00:00,84,20,69,1.340964,10,5,6,13
2024-12-25T02:06:00+00:00,79,19,67,1.373418,9,6,4,12
2024-12-25T02:07:00+00:00,93,21,78,1.549462,12,5,8,12
2024-12-25T02:08:00+00:00,89,20,74,1.546591,10,5,9,12
2024-12-25T02:09:00+00:00,89,17,74,1.631461,11,5,6,14
2024-12-25T02:10:00+00:00,91,20,76,1.312088,12,5,8,15
2024-12-25T02:11:00+00:00,87,19,73,1.247126,11,4,6,14
2024-12-25T02:12:00+00:00,96,24,83,1.309375,13,9,6,15
2024-12-25T02:13:00+00:00,89,19,75,1.728090,10,4,8,13
2024-12-25T02:14:00+00:00,87,20,71,1.761628,9,5,9,14
2024-12-25T02:15:00+00:00,92,22,79,1.507609,11,7,6,14
2024-12-25T02:16:00+00:00,93,20,79,1.610753,11,5,7,12
2024-12-25T02:17:00+00:00,90,17,75,1.688764,9,5,8,15
2024-12-25T02:18:00+00:00,99,26,84,1.612121,14,9,7,15
2024-12-25T02:19:00+00:00,95,17,81,1.543158,11,5,6,15
2024-12-25T02:20:00+00:00,81,18,67,1.851852,9,4,9,12
2024-12-25T02:21:00+00:00,86,22,71,1.643023,11,8,7,16
2024-12-25T02:22:00+00:00,93,18,80,1.155914,11,5,6,15
2024-12-25T02:23:00+00:00,90,18,76,1.187640,9,5,9,13
2024-12-25T02:24:00+00:00,87,22,71,1.359770,13,7,6,16
2024-12-25T02:25:00+00:00,94,19,82,0.927660,12,5,6,15
2024-12-25T02:26:00+00:00,78,17,67,0.939744,9,5,8,13
2024-12-25T02:27:00+00:00,83,22,73,0.820482,9,7,8,13
2024-12-25T02:28:00+00:00,86,17,75,0.886047,10,5,7,13
2024-12-25T02:29:00+00:00,89,19,76,0.875281,10,5,9,16
2024-12-25T02:30:00+00:00,90,23,79,0.798889,11,8,7,13
2024-12-25T02:31:00+00:00,91,19,80,0.645055,11,5,5,14
2024-12-25T02:32:00+00:00,85,19,73,0.889286,10,5,8,15
2024-12-25T02:33:00+00:00,92,23,79,0.853261,12,7,7,15
2024-12-25T02:34:00+00:00,90,19,79,1.011111,9,4,9,15
2024-12-25T02:35:00+00:00,86,18,77,0.980000,9,4,8,13
2024-12-25T02:36:00+00:00,94,21,80,1.290426,11,7,8,15
2024-12-25T02:37:00+00:00,90,20,76,1.276667,9,5,7,14
2024-12-25T02:38:00+00:00,90,19,70,1.548315,11,4,9,14
2024-12-25T02:39:00+00:00,92,22,78,1.267391,12,8,6,15
2024-12-25T02:40:00+00:00,91,19,75,1.402198,13,4,6,14
2024-12-25T02:41:00+00:00,94,18,75,1.598925,12,5,7,13
2024-12-25T02:42:00+00:00,86,20,68,1.553488,9,8,8,16
2024-12-25T02:43:00+00:00,94,21,77,1.720213,13,5,8,12
2024-12-25T02:44:00+00:00,93,19,74,1.809783,10,5,8,14
2024-12-25T02:45:00+00:00,86,17,71,1.561628,12,6,3,15
2024-12-25T02:46:00+00:00,93,21,76,1.680645,12,5,7,14
2024-12-25T02:47:00+00:00,90,19,74,1.686667,11,4,8,14
2024-12-25T02:48:00+00:00,100,24,84,1.609000,12,9,8,15
2024-12-25T02:49:00+00:00,71,12,55,1.715493,6,4,7,14
2024-12-25T02:50:00+00:00,91,19,76,1.237778,12,4,9,14
2024-12-25T02:51:00+00:00,91,20,77,1.358242,10,7,7,14
2024-12-25T02:52:00+00:00,84,17,68,1.642857,10,3,6,10
2024-12-25T02:53:00+00:00,93,20,78,1.309783,12,5,5,17
2024-12-25T02:54:00+00:00,95,20,78,1.242105,11,7,6,16
2024-12-25T02:55:00+00:00,95,21,80,1.185263,12,4,7,14
2024-12-25T02:56:00+00:00,85,16,70,1.247059,9,4,5,16
2024-12-25T02:57:00+00:00,95,23,81,1.041053,13,8,6,14
2024-12-25T02:58:00+00:00,76,19,64,0.840789,8,4,4,11
2024-12-25T02:59:00+00:00,96,22,78,1.154000,12,5,6,17
2024-12-25T03:00:00+00:00,99,21,83,0.967677,11,7,5,14
2024-12-25T03:01:00+00:00,100,22,83,1.017000,12,4,6,16
2024-12-25T03:02:00+00:00,95,20,79,0.919149,11,6,5,17
2024-12-25T03:03:00+00:00,96,19,81,0.967708,11,6,5,17
2024-12-25T03:04:00+00:00,96,20,82,0.916667,12,3,6,16
2024-12-25T03:05:00+00:00,85,18,69,1.077381,9,6,4,15
2024-12-25T03:06:00+00:00,82,19,67,1.013415,10,7,3,12
2024-12-25T03:07:00+00:00,89,20,79,0.725843,9,4,5,15
2024-12-25T03:08:00+00:00,84,17,70,0.990476,11,5,5,15
2024-12-25T03:09:00+00:00,87,19,74,0.951724,12,5,5,16
2024-12-25T03:10:00+00:00,95,22,80,0.836842,12,5,4,14
2024-12-25T03:11:00+00:00,91,22,77,1.100000,12,6,5,17
2024-12-25T03:12:00+00:00,84,19,70,1.219048,11,8,3,14
2024-12-25T03:13:00+00:00,85,20,70,1.269412,10,4,5,13
2024-12-25T03:14:00+00:00,85,20,69,1.369048,10,7,3,14
2024-12-25T03:15:00+00:00,83,17,66,1.195181,10,5,4,16
2024-12-25T03:16:00+00:00,90,19,76,1.124444,9,4,5,14
2024-12-25T03:17:00+00:00,90,20,76,0.937079,10,6,6,15
2024-12-25T03:18:00+00:00,91,18,75,1.117582,11,6,4,16
2024-12-25T03:19:00+00:00,87,17,68,1.043678,10,4,5,16
2024-12-25T03:20:00+00:00,93,24,75,1.054348,11,7,4,15
2024-12-25T03:21:00+00:00,85,20,69,1.182353,11,6,5,14
2024-12-25T03:22:00+00:00,94,20,80,0.975532,10,5,4,14
2024-12-25T03:23:00+00:00,90,21,73,1.028090,11,6,6,15
2024-12-25T03:24:00+00:00,89,17,71,1.467416,12,7,4,15
2024-12-25T03:25:00+00:00,82,16,66,1.391463,10,3,5,14
2024-12-25T03:26:00+00:00,89,22,70,1.477528,10,7,6,14
2024-12-25T03:27:00+00:00,85,18,67,1.418824,12,4,1,16
2024-12-25T03:28:00+00:00,91,20,73,1.124176,11,5,5,14
2024-12-25T03:29:00+00:00,86,19,70,1.017647,9,6,3,15
2024-12-25T03:30:00+00:00,92,21,76,0.915217,13,8,2,15
2024-12-25T03:31:00+00:00,91,18,77,0.751648,10,3,3,13
2024-12-25T03:32:00+00:00,94,23,77,0.798925,10,7,4,17
2024-12-25T03:33:00+00:00,85,19,73,0.850588,12,6,2,16
2024-12-25T03:34:00+00:00,62,10,51,1.100000,7,4,1,12
2024-12-25T03:35:00+00:00,86,20,74,0.832941,11,6,2,16
2024-12-25T03:36:00+00:00,63,9,52,1.074603,6,3,2,12
2024-12-25T03:37:00+00:00,86,18,74,0.909302,11,4,3,12
2024-12-25T03:38:00+00:00,92,24,81,0.614286,11,7,4,15
2024-12-25T03:39:00+00:00,100,21,86,0.879000,14,8,2,17
2024-12-25T03:40:00+00:00,96,17,82,0.971875,11,4,3,15
2024-12-25T03:41:00+00:00,90,18,74,0.946067,13,5,2,14
2024-12-25T03:42:00+00:00,92,21,79,0.792391,11,8,1,15
2024-12-25T03:43:00+00:00,89,17,75,0.978652,10,4,4,14
2024-12-25T03:44:00+00:00,87,19,71,0.940698,12,5,4,16
2024-12-25T03:45:00+00:00,94,21,81,0.768085,13,7,2,17
2024-12-25T03:46:00+00:00,98,19,84,0.823469,10,5,4,15
2024-12-25T03:47:00+00:00,95,21,80,0.913830,12,6,3,16
2024-12-25T03:48:00+00:00,85,20,72,0.992941,11,8,1,13
2024-12-25T03:49:00+00:00,69,10,55,1.195652,6,4,1,14
2024-12-25T03:50:00+00:00,87,23,75,0.755814,10,7,4,15
2024-12-25T03:51:00+00:00,87,20,75,0.811494,12,7,2,14
2024-12-25T03:52:00+00:00,88,18,72,1.015909,10,4,4,11
2024-12-25T03:53:00+00:00,91,22,74,0.914286,11,7,4,16
2024-12-25T03:54:00+00:00,97,21,82,0.791753,12,8,2,16
2024-12-25T03:55:00+00:00,93,18,78,0.928261,9,4,3,15
2024-12-25T03:56:00+00:00,97,23,79,1.046875,11,7,4,17
2024-12-25T03:57:00+00:00,83,20,70,1.091566,12,8,2,16
2024-12-25T03:58:00+00:00,86,17,71,1.081395,10,5,3,13
2024-12-25T03:59:00+00:00,93,22,76,1.583168,10,5,4,16
2024-12-25T04:00:00+00:00,85,21,72,0.976471,12,7,2,11
2024-12-25T04:01:00+00:00,100,18,84,1.216162,8,4,4,16
2024-12-25T04:02:00+00:00,92,19,74,1.089011,8,6,4,17
2024-12-25T04:03:00+00:00,94,21,76,1.050000,12,8,2,17
2024-12-25T04:04:00+00:00,95,16,80,0.871579,9,4,3,16
2024-12-25T04:05:00+00:00,86,20,73,0.836471,9,7,3,14
2024-12-25T04:06:00+00:00,86,22,73,0.910465,12,8,0,13
2024-12-25T04:07:00+00:00,86,17,71,1.046512,8,4,4,13
2024-12-25T04:08:00+00:00,84,20,72,1.026506,8,5,3,16
2024-12-25T04:09:00+00:00,90,21,75,1.230000,11,8,2,14
2024-12-25T04:10:00+00:00,91,18,77,1.385714,9,4,5,12
2024-12-25T04:11:00+00:00,95,22,79,1.400000,10,7,3,15
2024-12-25T04:12:00+00:00,89,21,73,1.510112,11,8,0,15
2024-12-25T04:13:00+00:00,84,18,70,0.988095,9,4,5,12
2024-12-25T04:14:00+00:00,78,19,66,1.180519,8,7,3,15
2024-12-25T04:15:00+00:00,84,20,72,0.963095,10,6,2,15
2024-12-25T04:16:00+00:00,88,15,78,0.957955,6,4,5,14
2024-12-25T04:17:00+00:00,84,20,71,1.187952,10,7,3,15
2024-12-25T04:18:00+00:00,89,20,77,1.168539,11,7,2,13
2024-12-25T04:19:00+00:00,84,19,73,1.053571,8,5,4,13
2024-12-25T04:20:00+00:00,83,18,73,0.930120,9,5,2,13
2024-12-25T04:21:00+00:00,87,23,74,0.985057,11,7,2,12
2024-12-25T04:22:00+00:00,88,17,75,1.026136,8,5,5,13
2024-12-25T04:23:00+00:00,84,20,76,0.660241,7,7,3,12
2024-12-25T04:24:00+00:00,92,20,78,1.106522,12,6,2,16
2024-12-25T04:25:00+00:00,94,19,82,1.041489,8,6,5,16
2024-12-25T04:26:00+00:00,86,19,77,0.861176,10,6,3,14
2024-12-25T04:27:00+00:00,89,21,78,0.980899,11,7,1,16
2024-12-25T04:28:00+00:00,84,17,76,0.635714,7,5,2,12
2024-12-25T04:29:00+00:00,90,20,80,0.815730,8,7,3,13
2024-12-25T04:30:00+00:00,81,18,69,1.013580,11,7,2,14
2024-12-25T04:31:00+00:00,86,22,76,0.789535,7,6,5,13
2024-12-25T04:32:00+00:00,79,19,66,1.374359,7,5,3,14
2024-12-25T04:33:00+00:00,86,19,74,1.260465,11,4,2,15
2024-12-25T04:34:00+00:00,86,20,74,1.436047,7,5,3,12
2024-12-25T04:35:00+00:00,84,20,75,1.154217,8,5,2,14
2024-12-25T04:36:00+00:00,80,18,70,1.175000,9,6,2,12
2024-12-25T04:37:00+00:00,81,21,75,0.719753,7,4,5,12
2024-12-25T04:38:00+00:00,77,18,70,0.600000,9,5,2,13
2024-12-25T04:39:00+00:00,51,18,50,0.066667,8,5,0,1
2024-12-25T04:40:00+00:00,36,11,34,0.247222,1,4,1,0
2024-12-25T04:41:00+00:00,49,18,49,0.038776,7,4,1,1
2024-12-25T04:42:00+00:00,49,16,48,0.071429,7,6,0,1
2024-12-25T04:43:00+00:00,30,11,29,0.073333,1,2,1,0
2024-12-25T04:44:00+00:00,51,21,49,0.086275,7,6,1,1
2024-12-25T04:45:00+00:00,51,16,51,0.027451,7,5,0,2
2024-12-25T04:46:00+00:00,38,9,36,0.484211,1,2,0,0
2024-12-25T04:47:00+00:00,43,16,41,0.085714,5,5,1,3
2024-12-25T04:48:00+00:00,49,19,49,0.036735,8,6,0,1
2024-12-25T04:49:00+00:00,93,20,83,0.613978,7,6,4,16
2024-12-25T04:50:00+00:00,44,9,43,0.054545,3,1,2,1
2024-12-25T04:51:00+00:00,61,19,60,0.437705,8,5,2,2
2024-12-25T04:52:00+00:00,61,20,60,0.432787,5,5,3,2
2024-12-25T04:53:00+00:00,43,12,42,0.067442,5,2,2,2
2024-12-25T04:54:00+00:00,49,16,49,0.051020,5,6,2,2
2024-12-25T04:55:00+00:00,60,20,60,0.013333,5,5,2,2
2024-12-25T04:56:00+00:00,43,11,42,0.146512,4,2,2,3
2024-12-25T04:57:00+00:00,53,18,53,0.056604,8,6,1,2
2024-12-25T04:58:00+00:00,66,20,66,0.037879,5,5,3,2
2024-12-25T04:59:00+00:00,95,20,85,0.865979,10,6,3,16
2024-12-25T05:00:00+00:00,84,16,77,0.942857,8,8,2,14
2024-12-25T05:01:00+00:00,94,18,84,1.007447,7,7,3,16
2024-12-25T05:02:00+00:00,95,18,83,0.963830,9,6,4,16
2024-12-25T05:03:00+00:00,93,19,84,0.834409,11,8,2,14
2024-12-25T05:04:00+00:00,74,18,68,0.589189,5,4,3,8
2024-12-25T05:05:00+00:00,78,18,70,1.048052,10,6,2,13
2024-12-25T05:06:00+00:00,86,18,75,1.206977,8,8,2,14
2024-12-25T05:07:00+00:00,78,21,70,0.984615,7,6,3,8
2024-12-25T05:08:00+00:00,73,17,63,1.254795,7,5,2,13
2024-12-25T05:09:00+00:00,83,20,74,1.048193,10,7,2,7
2024-12-25T05:10:00+00:00,80,21,69,1.061250,8,7,2,11
2024-12-25T05:11:00+00:00,76,16,65,0.910667,7,5,3,11
2024-12-25T05:12:00+00:00,78,19,67,1.267949,10,8,1,11
2024-12-25T05:13:00+00:00,75,18,64,1.045333,5,5,2,12
2024-12-25T05:14:00+00:00,63,11,52,1.341935,5,4,2,8
2024-12-25T05:15:00+00:00,80,19,69,1.156250,9,7,1,12
2024-12-25T05:16:00+00:00,69,15,62,0.939130,7,5,2,11
2024-12-25T05:17:00+00:00,76,16,66,0.866667,8,3,3,12
2024-12-25T05:18:00+00:00,72,18,62,1.148611,10,5,2,11
2024-12-25T05:19:00+00:00,63,15,59,0.622222,5,4,3,9
2024-12-25T05:20:00+00:00,67,15,57,0.919697,7,6,2,11
2024-12-25T05:21:00+00:00,68,14,61,0.961765,4,6,2,9
2024-12-25T05:22:00+00:00,76,14,67,1.072368,5,6,1,8
2024-12-25T05:23:00+00:00,70,14,62,0.854286,7,4,3,11
2024-12-25T05:24:00+00:00,58,15,50,0.887931,8,6,2,10
2024-12-25T05:25:00+00:00,64,13,58,0.751563,4,4,2,9
2024-12-25T05:26:00+00:00,68,13,59,0.747761,6,4,2,12
2024-12-25T05:27:00+00:00,62,13,54,0.980645,6,5,1,11
2024-12-25T05:28:00+00:00,65,11,59,0.603077,5,5,1,11
2024-12-25T05:29:00+00:00,59,14,49,0.963793,6,3,2,10
2024-12-25T05:30:00+00:00,73,12,62,0.878082,8,6,3,12
2024-12-25T05:31:00+00:00,64,13,53,1.226562,5,4,2,10
2024-12-25T05:32:00+00:00,65,15,54,1.000000,7,4,3,7
2024-12-25T05:33:00+00:00,58,10,49,0.941379,6,5,3,9
2024-12-25T05:34:00+00:00,68,13,59,0.891176,4,5,3,9
2024-12-25T05:35:00+00:00,64,11,53,1.000000,6,2,2,10
2024-12-25T05:36:00+00:00,60,9,50,1.086667,3,4,3,11
2024-12-25T05:37:00+00:00,55,10,45,1.212727,3,2,3,10
2024-12-25T05:38:00+00:00,74,16,64,0.780822,5,7,3,14
2024-12-25T05:39:00+00:00,62,14,52,0.895161,6,7,3,8
2024-12-25T05:40:00+00:00,49,9,42,1.014286,3,2,1,11
2024-12-25T05:41:00+00:00,60,15,53,0.765000,4,6,3,11
2024-12-25T05:42:00+00:00,55,10,48,0.874545,5,4,1,11
2024-12-25T05:43:00+00:00,49,9,40,1.234694,4,4,1,9
2024-12-25T05:44:00+00:00,60,13,54,0.642373,3,4,4,10
2024-12-25T05:45:00+00:00,62,11,52,0.870968,5,4,0,15
2024-12-25T05:46:00+00:00,40,6,36,0.960000,3,1,3,5
2024-12-25T05:47:00+00:00,61,15,55,0.583333,6,3,3,8
2024-12-25T05:48:00+00:00,57,8,48,1.163158,4,5,1,12
2024-12-25T05:49:00+00:00,73,14,68,0.398630,4,5,3,13
2024-12-25T05:50:00+00:00,65,12,56,0.857813,8,3,4,12
2024-12-25T05:51:00+00:00,63,12,56,0.814286,7,4,1,13
2024-12-25T05:52:00+00:00,65,11,60,0.672308,5,5,3,10
2024-12-25T05:53:00+00:00,51,14,45,0.704000,6,6,1,7
2024-12-25T05:54:00+00:00,73,14,64,0.832877,9,6,2,12
2024-12-25T05:55:00+00:00,75,15,67,0.470667,5,5,3,11
2024-12-25T05:56:00+00:00,64,15,56,0.566667,6,4,3,8
2024-12-25T05:57:00+00:00,83,19,74,0.469880,10,6,3,13
2024-12-25T05:58:00+00:00,81,21,76,0.254321,5,5,3,11
2024-12-25T05:59:00+00:00,86,20,78,0.527778,9,5,4,15
2024-12-25T06:00:00+00:00,87,18,77,0.511236,9,7,2,15
2024-12-25T06:01:00+00:00,96,21,85,0.632292,7,6,5,16
2024-12-25T06:02:00+00:00,95,19,84,0.644681,9,5,5,16
2024-12-25T06:03:00+00:00,84,17,74,0.729762,9,7,3,14
2024-12-25T06:04:00+00:00,85,20,75,0.694118,7,5,2,12
2024-12-25T06:05:00+00:00,73,19,68,0.584722,8,5,4,9
2024-12-25T06:06:00+00:00,79,16,72,0.260759,9,6,1,13
2024-12-25T06:07:00+00:00,88,21,83,0.425000,5,6,5,11
2024-12-25T06:08:00+00:00,72,17,65,0.664789,8,4,4,9
2024-12-25T06:09:00+00:00,70,17,67,0.425714,9,6,1,12
2024-12-25T06:10:00+00:00,81,19,76,0.579012,6,4,4,11
2024-12-25T06:11:00+00:00,74,17,69,0.283562,10,5,3,10
2024-12-25T06:12:00+00:00,81,17,75,0.598765,8,6,3,12
2024-12-25T06:13:00+00:00,78,19,74,0.460256,5,4,4,13
2024-12-25T06:14:00+00:00,67,18,62,0.584848,9,6,3,7
2024-12-25T06:15:00+00:00,70,17,65,0.551429,7,7,3,13
2024-12-25T06:16:00+00:00,80,15,74,0.341250,7,4,2,10
2024-12-25T06:17:00+00:00,68,15,65,0.210294,7,5,2,10
2024-12-25T06:18:00+00:00,67,16,64,0.277612,8,5,4,13
2024-12-25T06:19:00+00:00,78,16,72,0.435897,5,5,2,11
2024-12-25T06:20:00+00:00,68,17,62,0.295522,9,4,3,11
2024-12-25T06:21:00+00:00,67,13,64,0.259701,6,5,3,10
2024-12-25T06:22:00+00:00,76,18,70,0.159211,7,4,1,11
2024-12-25T06:23:00+00:00,71,17,65,0.261429,8,5,3,11
2024-12-25T06:24:00+00:00,66,15,63,0.274242,6,6,2,11
